No.,Client,Project,QT No.,Preriod,Project Type,P&L Type,BD,Revenue 2023,Total Cost 2023, Revenue Total Project,Cost Total Project,progress,Amount Margin,(%) 
462,"BD (Thailand) Co.,Ltd",Eucerin Logistic Hospital [Feb 2023],QT23010035,11 Feb - 10 Mar 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,90104.70,62045.92,90104.70,62045.92,100.00,28058.78,31.14
463,"BD (Thailand) Co.,Ltd",Eucerin Logistic Hospital [Mar 2023],QT23010036,10 Mar - 9 April 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,90104.70,60435.85,90104.70,60435.85,100.00,29668.85,32.93
464,"BD (Thailand) Co.,Ltd",Eucerin Logistic Hospital [Apr 2023],QT23010037,10 April - 11 May 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,90104.70,65788.49,90104.70,65788.49,100.00,24316.21,26.99
465,"BD (Thailand) Co.,Ltd",Eucerin Logistic Hospital [May 2023],QT23010038,11 May - 10 June 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,90104.70,57879.81,90104.70,57879.81,100.00,32224.89,35.76
466,"BD (Thailand) Co.,Ltd",Eucerin Logistic Hospital [Jun 2023],QT23010039,11 June -10 July 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,90104.70,59311.58,90104.70,59311.58,100.00,30793.12,34.17
467,"BD (Thailand) Co.,Ltd",Eucerin Logistic Hospital [Jul 2023],QT23010040,11 July - 10 Aug 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,90104.70,50416.54,90104.70,50416.54,100.00,39688.16,44.05
468,"BD (Thailand) Co.,Ltd",Eucerin Logistic Hospital [Aug 2023],QT23010041,1-30 Sep 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,90104.70,63649.72,90104.70,63649.72,100.00,26454.98,29.36
469,"BD (Thailand) Co.,Ltd",Eucerin Logistic Hospital [Sep 2023],QT23010042,Sep - Oct 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,90104.70,56898.75,90104.70,56898.75,100.00,33205.95,36.85
470,"BD (Thailand) Co.,Ltd",Eucerin Logistic Hospital [Oct 2023],QT23010043,Oct - Nov 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,90104.70,56089.38,90104.70,56089.38,100.00,34015.32,37.75
471,"BD (Thailand) Co.,Ltd",Eucerin Logistic Hospital [Nov 2023],QT23010044,Nov  - Dec 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,90104.70,57729.04,90104.70,57729.04,100.00,32375.66,35.93
472,"BD (Thailand) Co.,Ltd",Eucerin Logistic Hospital [Dec 2023],QT23010045,Dec 23 - Jan 24,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,53279.30,24760.41,53279.30,24760.41,100.00,28518.89,53.53
473,"BD (Thailand) Co.,Ltd",Eucerin Logistic Retail [Feb 2023],QT23010046,11 Feb - 10 Mar 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,224058.00,161213.10,224058.00,161213.10,100.00,62844.90,28.05
474,"BD (Thailand) Co.,Ltd",Eucerin Logistic Retail [Mar 2023],QT23010047,10 Mar - 9 April 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,224058.00,167591.43,224058.00,167591.43,100.00,56466.57,25.2
475,"BD (Thailand) Co.,Ltd",Eucerin Logistic Retail [Apr 2023],QT23010048,10 April - 11 May 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,224058.00,163834.67,224058.00,163834.67,100.00,60223.33,26.88
476,"BD (Thailand) Co.,Ltd",Eucerin Logistic Retail [May 2023],QT23010049,11 May - 10 June 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,224058.00,159044.78,224058.00,159044.78,100.00,65013.22,29.02
477,"BD (Thailand) Co.,Ltd",Eucerin Logistic Retail [Jun 2023],QT23010050,11 June -10 July 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,224058.00,162572.12,224058.00,162572.12,100.00,61485.88,27.44
478,"BD (Thailand) Co.,Ltd",Eucerin Logistic Retail [Jul 2023],QT23010051,11 July - 10 Aug 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,224058.00,147754.14,224058.00,147754.14,100.00,76303.86,34.06
479,"BD (Thailand) Co.,Ltd",Eucerin Logistic Retail [Aug 2023],QT23010052,Aug - Sep 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,224058.00,154350.00,224058.00,154350.00,100.00,69708.00,31.11
480,"BD (Thailand) Co.,Ltd",Eucerin Logistic Retail [Sep 2023],QT23010053,31 Sep - 31 Oct 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,224058.00,160150.26,224058.00,160150.26,100.00,63907.74,28.52
481,"BD (Thailand) Co.,Ltd",Eucerin Logistic Retail [Oct 2023],QT23010054,Oct - Nov 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,224058.00,145548.16,224058.00,145548.16,100.00,78509.84,35.04
482,"BD (Thailand) Co.,Ltd",Eucerin Logistic Retail [Nov 2023],QT23010055,Nov  - Dec 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,224058.00,149085.96,224058.00,149085.96,100.00,74972.04,33.46
483,"BD (Thailand) Co.,Ltd",Eucerin Logistic Retail [Dec 2023],QT23010056,Dec 23 - Jan 24,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,118887.92,71450.13,118887.92,71450.13,100.00,47437.79,39.9
484,บริษัท ครีม (ประเทศไทย) จำกัด,LRP-Logistic Booth at รพ. Ramathibodi,QT23010057,31 Jan -15 Feb 2023,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,5205.60,4880.00,5205.60,4880.00,100.00,325.60,6.25
485,บริษัท ครีม (ประเทศไทย) จำกัด,CRV-Logistic Booth at รพ. Ramathibodi (QT23010058),QT23010058,11-17 May 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,5205.60,4154.33,5205.60,4154.33,100.00,1051.27,20.19
486,บริษัท อีฟอีฟ จำกัด,Eucerin Booth @Eveandboy 2023,QT23010060, 20 Jan - 30 June 2023,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,910855.69,558943.24,910855.69,558943.24,100.00,351912.45,38.64
487,บริษัท  ฟู้ด  จำกัด,Coffee Dreamy CVS share service Mar 23,QT23010061.1,28 Feb - 31 Mar 23,2.4 Merchandiser CVS  Share service,จัดเรียงสินค้า,BU2B,100038.40,65755.20,100038.40,65755.20,100.00,34283.20,34.27
488,บริษัท  ฟู้ด  จำกัด,Coffee Dreamy CVS share service on April 23,QT23010061.2,1-30 April 23,2.4 Merchandiser CVS  Share service,จัดเรียงสินค้า,BU2B,100038.40,72650.78,100038.40,72650.78,100.00,27387.62,27.38
489,บริษัท  ฟู้ด  จำกัด,Coffee Dreamy CVS share service May 23,QT23010061.3,1-31 May 23,2.4 Merchandiser CVS  Share service,จัดเรียงสินค้า,BU2B,100038.40,65453.57,100038.40,65453.57,100.00,34584.83,34.57
490,FC (Thailand) PCL.,Foremost Distributer Conference (Hotel)_On Process,QT23010062,23-25 Jan 2023,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,1297717.75,1150841.10,1297717.75,1150841.10,100.00,146876.65,11.32
491,FC (Thailand) PCL.,Foremost Distributer Conference _On Process,QT23010063,23-25 Jan 2023,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,730000.00,548616.97,730000.00,548616.97,100.00,181383.03,24.85
492,"Pep (Thai) Trading co., Ltd.",PG Cheer PI-Snack @ Makro 30 Stores ,QT23010064.1,31 Mar - 30 April 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,415670.00,364590.42,415670.00,364590.42,100.00,51079.58,12.29
493,"Pep (Thai) Trading co., Ltd.",PG Cheer PI-Snack @ Makro 30 Stores (4 - 28 May 2023),QT23010064.2,4-28 May 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,356864.00,326525.47,356864.00,326525.47,100.00,30338.53,8.5
494,"Pep (Thai) Trading co., Ltd.",PG Cheer PI-Snack @ Makro 30 Stores (1 - 30 June 2023),QT23010064.3,1-30 June 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,408110.00,345081.27,408110.00,345081.27,100.00,63028.73,15.44
495,"Pep (Thai) Trading co., Ltd.",PG Cheer PI-Snack @ Makro 30 Stores on July 23,QT23010064.4,1-31 July 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,415130.00,368987.54,415130.00,368987.54,100.00,46142.46,11.12
496, Trading (Thailand) Ltd.,Downy Competitor Sampling Tester (Add. Jan 23),QT23010066,20-ม.ค.-23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,3029.07,1277.69,3029.07,1277.69,100.00,1751.38,57.82
497,บริษัท ยาสีฟัน (ประเทศไทย) จำกัด,Darlie MT 48 Store BKK & UPC 2023,QT23010067.1,4-26 Mar 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,423296.00,285265.39,423296.00,285265.39,100.00,138030.61,32.61
498,บริษัท ยาสีฟัน (ประเทศไทย) จำกัด,Darlie MT 48 Store BKK & UPC 2023,QT23010067.2,1-30 April 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,544144.00,400233.15,544144.00,400233.15,100.00,143910.85,26.45
499,บริษัท ยาสีฟัน (ประเทศไทย) จำกัด,Darlie MT 48 Store BKK & UPC 2023,QT23010067.3,6  May - 10 July 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,444925.44,327051.44,444925.44,327051.44,100.00,117874.00,26.49
500,บริษัท คิสมี จำกัด,Kiss My Body BA  10 stores on jan 23,QT23010068.1,27-29 Jan 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,44792.00,35652.30,44792.00,35652.30,100.00,9139.70,20.4
501,บริษัท คิสมี จำกัด,Kiss My Body BA  10 stores on Feb 23,QT23010068.2,1 -28 Feb 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,140800.00,98847.62,140800.00,98847.62,100.00,41952.38,29.8
502,บริษัท คิสมี จำกัด,Kiss My Body BA  10 stores on Mar 23,QT23010068.3,1-31 Mar 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,149600.00,106120.42,149600.00,106120.42,100.00,43479.58,29.06
503,บริษัท คิสมี จำกัด,KISS MY BODY BA 10 STORES on April 23,QT23010068.4,1 Appril - 5 May 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,90200.00,75617.64,90200.00,75617.64,100.00,14582.36,16.17
504,บริษัท บี เทรดดิ้ง จำกัด,Singha xToy Story Set Up Booth @ Singha Complex,QT23010069,18-20 Jan 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,4510.00,3500.00,4510.00,3500.00,100.00,1010.00,22.39
505,บริษัท ที (ไทยแลนด์) จำกัด,Tyson PC at Meat Fresh Taladthai on Feb 23,QT23010070,1 -28 Feb 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,153858.36,115870.98,153858.36,115870.98,100.00,37987.38,24.69
506,บริษัท ซินซิน (ไทยแลนด์) จำกัด,ZIM Thailand Sports Day Additional,QT23010071,14-ม.ค.-23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,690.00,532.00,690.00,532.00,100.00,158.00,22.9
507,บริษัท ดาดา (ประเทศไทย) จำกัด,ALPRO PC CHEER 97 Stores (PERIOD 1),QT23010072,25 Feb - 2 April  23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,896000.00,648460.58,896000.00,648460.58,100.00,247539.42,27.63
508,บริษัท ดาดา (ประเทศไทย) จำกัด,PC Cheer Alpro MT&GT 35 Store ( 8 Days/Store) MT Dry Sampling & GT Wet Sampling MAY 23,QT23010073.1,30 April - 31 May 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,232084.00,126737.51,232084.00,126737.51,100.00,105346.49,45.39
509,บริษัท ดาดา (ประเทศไทย) จำกัด,PC Cheer Alpro MT&GT 35 Store ( 8 Days/Store) MT Dry Sampling & GT Wet Sampling (QT23010073),QT23010073.2,1 June - 31 July 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,267916.00,145553.99,267916.00,145553.99,100.00,122362.01,45.67
510,บริษัท เงินเงิน จำกัด (มหาชน),Tidlor troop thapha event,QT23010074,1 Jan - 31 Mar 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,46424.00,45743.59,46424.00,45743.59,100.00,680.41,1.47
511,บริษัท เงินเงิน จำกัด (มหาชน),Tidlor truck event นครปฐม,QT23010075,31 Jan - 4 Feb 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,107424.80,76423.10,107424.80,76423.10,100.00,31001.70,28.86
512,บริษัท ซีซี เทรดดิ้ง (ไทยแลนด์) จำกัด,Sino PC จัดรายการ Kikoman ,QT23010076,1-28 Feb 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,124960.00,108828.77,124960.00,108828.77,100.00,16131.23,12.91
513,บริษัท ซีซี เทรดดิ้ง (ไทยแลนด์) จำกัด,Sino PC จัดรายการ ตรุษจีน @The Mall  ,QT23010077,19 Jan - 8 Feb 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,56622.50,41765.14,56622.50,41765.14,100.00,14857.36,26.24
514,บริษัท เจ เอส บี แอสเสท จำกัด,Firster x Laka event,QT23010079,31 Jan-12 Feb 2023,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,126280.00,98049.74,126280.00,98049.74,100.00,28230.26,22.36
515,บริษัท บี เทรดดิ้ง จำกัด,Singha x Toy Story Booth Instores ( Additional Cost),QT23010080,31-03-23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,19800.00,10000.00,19800.00,10000.00,100.00,9800.00,49.49
516, Trading (Thailand) Ltd.,Neurobion Delivery Equipment,QT23010081,31 Jan -31 Mar 2023,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1A,8262.00,5400.00,8262.00,5400.00,100.00,2862.00,34.64
517,TW Public Company Limited,Thai Wah Premium (รสดีหมู) GT 22 Stores,QT23010082,Jan - Feb 2023,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2B,13396.45,11163.54,13396.45,11163.54,100.00,2232.91,16.67
518,บริษัท อาเซี่ยน จำกัด (มหาชน),PC จัดรายการ  Hajiko @ Petshop 10 Stores,QT23010083,3-5 Feb 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,28014.00,27276.68,28014.00,27276.68,100.00,737.32,2.63
519,บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,Activity Support ค๊อกพิท สาขา บ่อวิน,QT23010085,31-01-23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,8856.00,8182.71,8856.00,8182.71,100.00,673.29,7.6
520,"BS (Thailand) Co., Ltd.",Bridgestone FC- Activity Support Cockpit ชัยโชติ ราชพฤกษ์ ,QT23010088,31 Jan - 7 Feb 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,48636.72,35027.09,48636.72,35027.09,100.00,13609.63,27.98
521,"SGW CO., LTD.",Dealer Party (Weber),QT23010091,24-02-23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,1965547.28,1423148.16,1965547.28,1423148.16,100.00,542399.12,27.6
522,บริษัท ผลิตภัณฑ์ จำกัด (มหาชน),Dealer Party (Gyproc),QT23010092,31 Jan - 24 Feb 2023,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,898000.00,564174.15,898000.00,564174.15,100.00,333825.85,37.17
523,บริษัท มันนี่ จำกัด,Montana_Voucher Lotus,QT23010093,30-ม.ค.-23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,265896.00,245898.50,265896.00,245898.50,100.00,19997.50,7.52
524,บริษัท ครีม (ประเทศไทย) จำกัด,Maybelline Logistic  at Watsons 4 Store,QT23010094,29-ม.ค.-23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,10216.80,8640.00,10216.80,8640.00,100.00,1576.80,15.43
525,"BD (Thailand) Co.,Ltd",Eucerin Redress GWP Euc Acne Gel 75 ml,QT23010095,Jan - Feb 2023,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,28355.00,18435.00,28355.00,18435.00,100.00,9920.00,34.99
526,"One Co.,Ltd",Hygiene Ocean Bloom Internal Launch 2023,QT23010096,27-ม.ค.-23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,61000.00,47647.00,61000.00,47647.00,100.00,13353.00,21.89
527,"One Co.,Ltd",I.P One ( 3 brands) Internal Launch 2023,QT23010097,27-01-23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,66200.00,46064.88,66200.00,46064.88,100.00,20135.12,30.42
528,บริษัท ซีซี เทรดดิ้ง (ไทยแลนด์) จำกัด,SINO PC จัดรายการ,QT23010100,1-28 Feb 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,66110.00,44344.09,66110.00,44344.09,100.00,21765.91,32.92
529,"One Co.,Ltd",Vixol Caravan 2023 Additional cost,QT23010101,Mar - April 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,34720.00,12000.00,34720.00,12000.00,100.00,22720.00,65.44
530,บริษัท นม จำกัด,PG Cheer Dutch Mill Gooddy,QT23010102,11-26 Feb - 11-12Mar 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,469875.00,345434.93,469875.00,345434.93,100.00,124440.07,26.48
531,FC (Thailand) PCL.,Foremost Distribuer Conference Event day Add cost,QT23010105,23-25 Jan 2023,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,42144.00,29677.85,42144.00,29677.85,100.00,12466.15,29.58
532,บริษัท นมถั่วเหลือง จำกัด,Lactasoy Booth Activity,QT23010106,31 Jan - 22 Feb 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,208548.00,150999.65,208548.00,150999.65,100.00,57548.35,27.59
533,"BD (Thailand) Co.,Ltd",Eucerin VDO Sun,QT23010107,Jan - Feb 2023,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,82925.00,58378.00,82925.00,58378.00,100.00,24547.00,29.6
534,บริษัท นางงาม (ไทยแลนด์) จำกัด ,Additional Chaonang @ 17  Stores (Jan 23),QT23010110,1-31 Jan 2023,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,4760.00,1808.45,4760.00,1808.45,100.00,2951.55,62.01
535,บริษัท ครีม (ประเทศไทย) จำกัด,LRP Logistic Booth at รพ.วชิระ,QT23010111,25-27 Jan 2023,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,3607.20,3020.00,3607.20,3020.00,100.00,587.20,16.28
536,บริษัท ซีเอ็นเอ็น วิลเลจ จำกัด,CENTRAL VILLAGE CHINESE NEW YEAR 2023_Additional,QT23010112,20 Jan - 11 Feb  23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,3300.00,1800.00,3300.00,1800.00,100.00,1500.00,45.45
537,บริษัท ครีม (ประเทศไทย) จำกัด,LPR Logistic  at Watsons 7 Store (2-6 Feb 2023),QT23010113,31 Jan - 6 Feb 2023,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,30844.80,21763.75,30844.80,21763.75,100.00,9081.05,29.44
538,บริษัท ครีม (ประเทศไทย) จำกัด,LRP-Logistic Booth at รพ.เวชธานี,QT23010114,31 Jan -31 Mar 2023,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,13003.20,9407.20,13003.20,9407.20,100.00,3596.00,27.65
539,บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,Cockpit Owner- Activity Support Cockpit Makro Ladprao,QT23010119,25 Jan - 4 Feb 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,8316.00,6951.67,8316.00,6951.67,100.00,1364.33,16.41
540,"BD (Thailand) Co.,Ltd",Eucerin_Pharmacy @Phitsanulok,QT23010120,31 Jan -31 Mar 23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,53930.62,47791.25,53930.62,47791.25,100.00,6139.37,11.38
541,"One Co.,Ltd",I.P One ( 3 brands) Internal Launch 2023 (Additional),QT23010121,27-01-23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,44520.00,19572.33,44520.00,19572.33,100.00,24947.67,56.04
542,บริษัท ครีม (ประเทศไทย) จำกัด,LRP-Logistic at Tha Mall Bangkapi,QT23010122,31-ม.ค.-23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,2203.20,1600.00,2203.20,1600.00,100.00,603.20,27.38
543,บริษัท ข้าว จำกัด,PC Cheer food fair 2023 @Makro ชลบุรี,QT23010123,31 Jan - 12 Feb 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,17997.50,9358.74,17997.50,9358.74,100.00,8638.76,48
544,บริษัท สันติ จำกัด,FOCUS GROUP (ผลิตภัณฑ์ ตรานกพิราบ),QT23010125,13-17 Feb 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,33000.00,11295.31,33000.00,11295.31,100.00,21704.69,65.77
545,บริษัท เอ็น-ดี  จำกัด,NBD HEALTHCARE CVS PROGRAM MAR 2023,QT23010126.1,1-31 Mar 23,2.4 Merchandiser CVS  Share service,จัดเรียงสินค้า,BU2B,360000.00,210725.11,360000.00,210725.11,100.00,149274.89,41.47
546,บริษัท เอ็น-ดี  จำกัด,NBD HEALTHCARE CVS PROGRAM DEC 2023,QT23010126.10,1-31 Dec 23,2.4 Merchandiser CVS  Share service,จัดเรียงสินค้า,BU2B,413161.30,281725.64,413161.30,281725.64,100.00,131435.66,31.81
547,บริษัท เอ็น-ดี  จำกัด,NBD HEALTHCARE CVS PROGRAM APR 2023,QT23010126.2,1-30 April 23,2.4 Merchandiser CVS  Share service,จัดเรียงสินค้า,BU2B,360000.00,258466.84,360000.00,258466.84,100.00,101533.16,28.2
548,บริษัท เอ็น-ดี  จำกัด,NBD HEALTHCARE CVS PROGRAM MAY 2023 (QT23010126.3),QT23010126.3,1-31 May 23,2.4 Merchandiser CVS  Share service,จัดเรียงสินค้า,BU2B,360000.00,255852.22,360000.00,255852.22,100.00,104147.78,28.93
549,บริษัท เอ็น-ดี  จำกัด,NBD HEALTHCARE CVS PROGRAM JUN 2023,QT23010126.4,1-30 June 23,2.4 Merchandiser CVS  Share service,จัดเรียงสินค้า,BU2B,360000.00,228306.45,360000.00,228306.45,100.00,131693.55,36.58
550,บริษัท เอ็น-ดี  จำกัด,NBD HEALTHCARE CVS PROGRAM JUL 2023,QT23010126.5,1-31 July 23,2.4 Merchandiser CVS  Share service,จัดเรียงสินค้า,BU2B,360000.00,198429.12,360000.00,198429.12,100.00,161570.88,44.88
551,บริษัท เอ็น-ดี  จำกัด,NBD HEALTHCARE CVS PROGRAM AUG 2023,QT23010126.6,1-31 Aug 23,2.4 Merchandiser CVS  Share service,จัดเรียงสินค้า,BU2B,280258.04,150479.48,280258.04,150479.48,100.00,129778.56,46.31
552,บริษัท เอ็น-ดี  จำกัด,NBD HEALTHCARE CVS PROGRAM SEP 2023,QT23010126.7,1-30 Sep 23,2.4 Merchandiser CVS  Share service,จัดเรียงสินค้า,BU2B,280258.04,155594.57,280258.04,155594.57,100.00,124663.47,44.48
553,บริษัท เอ็น-ดี  จำกัด,NBD HEALTHCARE CVS PROGRAM OCT 2023,QT23010126.8,30 Sep  - 31 Oct 23,2.4 Merchandiser CVS  Share service,จัดเรียงสินค้า,BU2B,413161.30,291090.28,413161.30,291090.28,100.00,122071.02,29.55
554,บริษัท เอ็น-ดี  จำกัด,NBD HEALTHCARE CVS PROGRAM NOV 2023,QT23010126.9,1-30 Nov 23,2.4 Merchandiser CVS  Share service,จัดเรียงสินค้า,BU2B,413161.30,266655.38,413161.30,266655.38,100.00,146505.92,35.46
555,บริษัท คิวคิว อาหาร จำกัด,PG ชงชิมและเชียร์ขายสินค้า@ Maxvalu 5 stores ,QT23010127,17-30 March 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,74984.00,50283.64,74984.00,50283.64,100.00,24700.36,32.94
556,บริษัท เจ เอส บี แอสเสท จำกัด,Laka Additional ,QT23010128,31 Jan-12 Feb 2023,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,9408.00,4850.00,9408.00,4850.00,100.00,4558.00,48.45
557,"One Co.,Ltd",Vixol Caravan 2023_Delivery Product,QT23010129,28 Feb - 30 April 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,148000.00,135572.00,148000.00,135572.00,100.00,12428.00,8.4
558,บริษัท ฟู้ด โปรดักท์ จำกัด,Aur-Aree PC Cheer @MT 15 Stores,QT23010130,20 Feb  -30  April 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,170800.00,105039.58,170800.00,105039.58,100.00,65760.42,38.5
559,บริษัท บี เทรดดิ้ง จำกัด,Singha Lemon Soda Set Up Booth at Changwattana,QT23010131,Jan - Feb 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,15730.00,7996.75,15730.00,7996.75,100.00,7733.25,49.16
560,บริษัท ยาสีฟัน (ประเทศไทย) จำกัด,Additional PG Store Tourist Darlie Big C Rajdamri (15 - 28 Feb 2023),QT23010132.1,15 - 28 Feb 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,13440.00,10560.00,13440.00,10560.00,100.00,2880.00,21.43
561,บริษัท ยาสีฟัน (ประเทศไทย) จำกัด,Additional PG Store Tourist Darlie Big C Rajdamri ,QT23010132.3,1-31 Mar 23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,28000.00,22705.00,28000.00,22705.00,100.00,5295.00,18.91
562,บริษัท ยาสีฟัน (ประเทศไทย) จำกัด,Additional PG Store Tourist Darlie Big C Rajdamri (1 - 15 Apr 2023),QT23010132.5,1-15 April  23,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,14560.00,13540.00,14560.00,13540.00,100.00,1020.00,7.01
563,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,Haleon Sale Conference 2023,QT23010133,28 Feb - 2 Mar 23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,1287553.40,1010810.68,1287553.40,1010810.68,100.00,276742.72,21.49
564, Trading (Thailand) Ltd.,P&G VFD PR Campaign_Influencer,QT23010134,24-ก.พ.-23,1.4 Digital,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,152280.00,115000.00,152280.00,115000.00,100.00,37280.00,24.48
565,บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,Cockpit Owner Re-inkjet at Cockpit 2 stores ( Feb 23),QT23010135,20-02-23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,7344.00,4645.84,7344.00,4645.84,100.00,2698.16,36.74
566, Trading (Thailand) Ltd.,Vick Booth Roadshow  OND (Venue),QT23010136,27-01-23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,5184.00,2000.00,5184.00,2000.00,100.00,3184.00,61.42
