No.,Client,Project,QT No.,Preriod,Project Type,P&L Type,BD,Revenue 2023,Total Cost 2023, Revenue Total Project,Cost Total Project,progress,Amount Margin,(%) 
24, International Operations SA Singapore Branch,SK-II Outreach FY2223 (Jan2023),QT22060035.7,1-31 Jan 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,1417770.00,780471.87,1417770.00,780471.87,100.00,637298.13,44.95
25, International Operations SA Singapore Branch,SK-II Outreach FY2223 (Feb2023),QT22060035.8,1 -28 Feb 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,948348.00,463011.45,948348.00,463011.45,100.00,485336.55,51.18
26, Trading (Thailand) Ltd.,Recruit Graphic Olay _License FY2223,QT22060036,1-31 Jan 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,64800.00,31600.00,64800.00,31600.00,100.00,33200.00,51.23
27, Trading (Thailand) Ltd.,Recruit Graphic Oral-B _License FY2223,QT22060037,1-31 Jan 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,64800.00,15600.00,64800.00,15600.00,100.00,49200.00,75.93
28, Trading (Thailand) Ltd.,Graphic-Operation Cost (Olay) on Apr 2023,QT22060038.10,1-30 April 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,15000.00,20979.00,15000.00,100.00,5979.00,28.5
29, Trading (Thailand) Ltd.,Graphic-Operation Cost (Olay) on May 2023 (QT22060038.11),QT22060038.11,1-31 May 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,15553.31,20979.00,15553.31,100.00,5425.69,25.86
30, Trading (Thailand) Ltd.,Graphic-Operation Cost (Olay) on Jun 2023,QT22060038.12,1-30 June 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,16103.34,20979.00,16103.34,100.00,4875.66,23.24
31, Trading (Thailand) Ltd.,Graphic-Operation Cost (Olay) on Jan 2023,QT22060038.7,1-31 Jan 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,15432.00,20979.00,15432.00,100.00,5547.00,26.44
32, Trading (Thailand) Ltd.,Graphic-Operation Cost (Olay) on Feb 2023,QT22060038.8,1 -28 Feb 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,14850.00,20979.00,14850.00,100.00,6129.00,29.21
33, Trading (Thailand) Ltd.,Graphic-Operation Cost (Olay) on Mar 2023,QT22060038.9,1-31 Mar 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,20979.00,14736.00,20979.00,14736.00,100.00,6243.00,29.76
34, Trading (Thailand) Ltd.,Graphic-Operation Cost (Oral-B) on Apr 2023,QT22060039.10,1-30 April 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,12000.00,17010.00,12000.00,100.00,5010.00,29.45
35, Trading (Thailand) Ltd.,Graphic-Operation Cost (Oral-B) on May 2023 (QT22060039.11),QT22060039.11,1-31 May 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,12280.00,17010.00,12280.00,100.00,4730.00,27.81
36, Trading (Thailand) Ltd.,Graphic-Operation Cost (Oral-B) on Jun 2023,QT22060039.12,1-30 June 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,17010.00,14332.34,17010.00,14332.34,100.00,2677.66,15.74
