ลำดับที่,BU,Job,QT, Project Name,Client/Owner,Status,Amount Rev,Start date,End date,Year,month-ended,Quarter,Business unit,monthyear, Value ,Cr.Term range,,,,,,,,,,,
19,BU 2.3,2.3 Merchandiser&RO Share service,QT22100018.11,Mandom Merchandising share on Nov 23,MC (Thailand) Limited.,IC. APPROVED & AWAITING  PROCESS PROJECTS," 244,255.00 ",01-11-23,30-11-23,2023,11,Q4,BU2A,Nov," 244,255.00 ",30-60 วัน,,,,,,,,,,,
20,BU 2.3,2.3 Merchandiser&RO Share service,QT22100018.12,Mandom Merchandising share on Dec 23,MC (Thailand) Limited.,IC. APPROVED & AWAITING  PROCESS PROJECTS," 244,255.00 ",01-12-23,31-12-23,2023,12,Q4,BU2A,Dec," 244,255.00 ",30-60 วัน,,,,,,,,,,,
21,BU 3.3,3.3 Key Account,QT22110007.10,PC SUNNY BABY AT TT on Oct 23,บริษัท ยือยือ (ไทยแลนด์) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 320,000.00 ",01-10-23,31-10-23,2023,10,Q4,BU2A,Oct," 320,000.00 ",30-60 วัน,,,,,,,,,,,
22,BU 3.3,3.3 Key Account,QT22110007.11,PC SUNNY BABY AT TT on Nov 23,บริษัท ยือยือ (ไทยแลนด์) จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 320,000.00 ",01-11-23,30-11-23,2023,11,Q4,BU2A,Nov," 320,000.00 ",30-60 วัน,,,,,,,,,,,
23,BU 3.3,3.3 Key Account,QT22110007.12,PC SUNNY BABY AT TT on Dec 23,บริษัท ยือยือ (ไทยแลนด์) จำกัด,IC. APPROVED & AWAITING  PROCESS PROJECTS," 320,000.00 ",01-12-23,31-12-23,2023,12,Q4,BU2A,Dec," 320,000.00 ",30-60 วัน,,,,,,,,,,,
24,BU 2.3,2.3 Merchandiser&RO Share service,QT22110056.10,Thai Wah Merchandiser Share Service on Oct 2023,TW Public Company Limited,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 430,036.93 ",01-10-23,31-10-23,2023,10,Q4,BU2B,Oct," 430,036.93 ",30-60 วัน,,,,,,,,,,,
25,BU 2.3,2.3 Merchandiser&RO Share service,QT22110056.11,Thai Wah Merchandiser Share Service on Nov 2023,TW Public Company Limited,IC. APPROVED & AWAITING  PROCESS PROJECTS," 430,036.93 ",01-11-23,30-11-23,2023,11,Q4,BU2B,Nov," 430,036.93 ",30-60 วัน,,,,,,,,,,,
26,BU 2.3,2.3 Merchandiser&RO Share service,QT22110056.12,Thai Wah Merchandiser Share Service on Dec 2023,TW Public Company Limited,IC. APPROVED & AWAITING  PROCESS PROJECTS," 430,036.93 ",01-12-23,31-12-23,2023,12,Q4,BU2B,Dec," 430,036.93 ",30-60 วัน,,,,,,,,,,,
27,BU 2.3,2.3 Merchandiser&RO Share service,QT22110056.7,Thai Wah Merchandiser Share Service on July 2023,TW Public Company Limited,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 430,036.93 ",01-07-23,31-07-23,2023,7,Q3,BU2B,Jan," 1,674,502.50 ",30-60 วัน,,,,,,,,,,,
28,BU 2.2,2.2 Merchandiser & RO,QT22110072.10,Thai Wah Merchandiser Exclusive Service on Oct 2023,TW Public Company Limited,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 16,811.67 ",01-10-23,31-10-23,2023,10,Q4,BU2B,Oct," 16,811.67 ",30-60 วัน,,,,,,,,,,,
29,BU 2.2,2.2 Merchandiser & RO,QT22110072.11,Thai Wah Merchandiser Exclusive Service on Nov 2023,TW Public Company Limited,IC. APPROVED & AWAITING  PROCESS PROJECTS," 16,811.67 ",01-11-23,30-11-23,2023,11,Q4,BU2B,Nov," 16,811.67 ",30-60 วัน,,,,,,,,,,,
30,BU 2.2,2.2 Merchandiser & RO,QT22110072.12,Thai Wah Merchandiser Exclusive Service on Dec 2023,TW Public Company Limited,IC. APPROVED & AWAITING  PROCESS PROJECTS," 16,811.67 ",01-12-23,31-12-23,2023,12,Q4,BU2B,Jan," 430,036.93 ",30-60 วัน,,,,,,,,,,,
31,BU 2.2,2.2 Merchandiser & RO,QT22110072.12,Thai Wah Merchandiser Exclusive Service on Dec 2023,TW Public Company Limited,IC. APPROVED & AWAITING  PROCESS PROJECTS," 16,811.67 ",01-12-23,31-12-23,2023,12,Q4,BU2B,Dec," 16,811.67 ",30-60 วัน,,,,,,,,,,,
32,BU 2.2,2.2 Merchandiser & RO,QT22110072.2,Thai Wah Merchandiser Exclusive Service on Feb 2023,TW Public Company Limited,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 16,811.67 ",01-02-23,28-02-23,2023,2,Q1,BU2B,Feb," 430,036.93 ",30-60 วัน,,,,,,,,,,,
33,BU 2.2,2.2 Merchandiser & RO,QT22110072.3,Thai Wah Merchandiser Exclusive Service on Mar 2023,TW Public Company Limited,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 16,811.67 ",01-03-23,31-03-23,2023,3,Q1,BU2B,Mar," 430,036.93 ",30-60 วัน,,,,,,,,,,,
34,BU 2.2,2.2 Merchandiser & RO,QT22110072.4,Thai Wah Merchandiser Exclusive Service on April 2023,TW Public Company Limited,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 16,811.67 ",01-04-23,30-04-23,2023,4,Q2,BU2B,Apr," 430,036.93 ",30-60 วัน,,,,,,,,,,,
35,BU 2.2,2.2 Merchandiser & RO,QT22110072.5,Thai Wah Merchandiser Exclusive Service on May 2023,TW Public Company Limited,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 16,811.67 ",01-05-23,31-05-23,2023,5,Q2,BU2B,May," 430,036.93 ",30-60 วัน,,,,,,,,,,,
36,BU 2.2,2.2 Merchandiser & RO,QT22110072.6,Thai Wah Merchandiser Exclusive Service on June 2023,TW Public Company Limited,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 16,811.67 ",01-06-23,30-06-23,2023,6,Q2,BU2B,Jun," 430,036.93 ",30-60 วัน,,,,,,,,,,,
37,BU 2.2,2.2 Merchandiser & RO,QT22110072.7,Thai Wah Merchandiser Exclusive Service on July 2023,TW Public Company Limited,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 16,811.67 ",01-07-23,31-07-23,2023,7,Q3,BU2B,Jul," 430,036.93 ",30-60 วัน,,,,,,,,,,,
38,BU 2.2,2.2 Merchandiser & RO,QT22110072.8,Thai Wah Merchandiser Exclusive Service on Aug 2023,TW Public Company Limited,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 16,811.67 ",01-08-23,31-08-23,2023,8,Q3,BU2B,Aug," 430,036.93 ",30-60 วัน,,,,,,,,,,,
39,BU 2.2,2.2 Merchandiser & RO,QT22110072.9,Thai Wah Merchandiser Exclusive Service on Sep 2023,TW Public Company Limited,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 16,811.67 ",01-09-23,30-09-23,2023,9,Q3,BU2B,Sep," 430,036.93 ",30-60 วัน,,,,,,,,,,,
40,BU 3.2,3.2 Key Account,QT22110089.3,KOE Tipco 21 Jan - 20 Feb 23,"TC F&B CO., LTD",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 474,552.00 ",21-01-23,20-02-23,2023,2,Q1,BU2A,Jan," 16,811.67 ",30-60 วัน,,,,,,,,,,,
41,BU 3.2,3.2 Key Account,QT22110089.4,Incentive KOE Tipco on Feb 23,"TC F&B CO., LTD",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 77,760.00 ",01-02-23,28-02-23,2023,2,Q1,BU2A,Feb," 16,811.67 ",30-60 วัน,,,,,,,,,,,
42,BU 3.2,3.2 Key Account,QT22110089.5,KOE Tipco 21 Feb - 20 Mar 23,"TC F&B CO., LTD",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 474,552.00 ",21-02-23,20-03-23,2023,2,Q1,BU2A,Mar," 16,811.67 ",30-60 วัน,,,,,,,,,,,
