ลำดับที่,BU,Job,QT, Project Name,Client/Owner,Status,Amount Rev,Start date,End date,Year,month-ended,Quarter,Business unit,monthyear, Value ,Cr.Term range,,,,,,,,,,,
649,BU 2.3,2.3 Merchandiser&RO Share service,QT23030047.9,AMPAWA & COCOMAX MERCHANDISER SHARED SERVICE 2023,บริษัท เอเซีย อุตสาหกรรม จำกัด  ,IC. APPROVED & AWAITING  PROCESS PROJECTS," 560,000.00 ",01-12-23,31-12-23,2023,12,Q4,BU2B,May," 203,688.00 ",30-60 วัน,,,,,,,,,,,
650,BU 2.3,2.3 Merchandiser&RO Share service,QT23030047.9,AMPAWA & COCOMAX MERCHANDISER SHARED SERVICE 2023,บริษัท เอเซีย อุตสาหกรรม จำกัด  ,IC. APPROVED & AWAITING  PROCESS PROJECTS," 560,000.00 ",01-12-23,31-12-23,2023,12,Q4,BU2B,Dec," 560,000.00 ",30-60 วัน,,,,,,,,,,,
651,BU 1.3,1.3 Logistic,QT23030048,Vichy Logistic at Watsons 4 Store  (14 -18 Mar  2023),บริษัท ครีม (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 19,785.60 ",14-03-23,18-03-23,2023,3,Q1,BU1B,Jun," 955,206.00 ",30-60 วัน,,,,,,,,,,,
652,BU 2.1,2.1 PG & BA,QT23030050,Smooth E Additional Commission Special Display  FEB 23,บริษัท สยาม กรุ๊ป จำกัด ,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 13,986.00 ",01-02-23,28-02-23,2023,2,Q1,BU2B,Mar," 4,144.00 ",30-60 วัน,,,,,,,,,,,
653,BU 3.1,3.1 Key Account,QT23030052,Eucerin Training U3,"BD (Thailand) Co.,Ltd",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 112,200.00 ",14-03-23,27-03-23,2023,3,Q1,BU1B,Apr," 207,416.00 ",30-60 วัน,,,,,,,,,,,
654,BU 1.2,1.2 Event,QT23030054,Accor x CocaCola Mixology Competition 2023,บริษัท ไทยคอร์ปอเรชั่น จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 241,140.00 ",10-10-23,10-10-23,2023,10,Q4,BU1A,Jun," 207,416.00 ",30-60 วัน,,,,,,,,,,,
655,BU 1.2,1.2 Event,QT23030054,Accor x CocaCola Mixology Competition 2023,บริษัท ไทยคอร์ปอเรชั่น จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 241,140.00 ",10-10-23,10-10-23,2023,10,Q4,BU1A,Oct," 241,140.00 ",30-60 วัน,,,,,,,,,,,
656,BU 1.3,1.3 Logistic,QT23030055,Bridgestone - Set up Booth at Thai Bridgestone Proving Ground Wangnoi,"BS (Thailand) Co., Ltd.",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 7,392.60 ",18-03-23,18-03-23,2023,3,Q1,BU1B,Apr," 83,248.00 ",30-60 วัน,,,,,,,,,,,
657,BU 1.1,1.1 Booth & Roadshow,QT23030056,Cockpit Owner - Activity Support Cockpit 2 Store_จัดบูธที่ศูนย์ราชการแจ้งวัฒนะ,บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 46,094.40 ",20-03-23,31-03-23,2023,3,Q1,BU1B,May," 83,248.00 ",30-60 วัน,,,,,,,,,,,
658,BU 1.2,1.2 Event,QT23030057,Sensodyne Hack a day (Mar 2023),บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 177,306.80 ",22-03-23,23-03-23,2023,3,Q1,BU1B,Jun," 83,248.00 ",60-150 วัน,,,,,,,,,,,
659,BU 1.2,1.2 Event,QT23030060,Agoda_Cocktail @ 14 Mar.66,บริษัท เซอร์วิสเซส จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 33,900.00 ",14-03-23,14-03-23,2023,3,Q1,BU1B,Mar," 1,895.00 ",30-60 วัน,,,,,,,,,,,
660,BU 1.2,1.2 Event,QT23030060,Agoda_Cocktail @ 14 Mar.66,บริษัท เซอร์วิสเซส จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 33,900.00 ",14-03-23,14-03-23,2023,3,Q1,BU1B,Apr," 17,059.00 ",30-60 วัน,,,,,,,,,,,
661,BU 1.2,1.2 Event,QT23030061,Eucerin_Sales Celebration 2022 and Conference,"BD (Thailand) Co.,Ltd",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 6,337,508.74 ",21-03-23,22-03-23,2023,3,Q1,BU1B,Mar," 4,466.00 ",30-60 วัน,,,,,,,,,,,
662,BU 1.3,1.3 Logistic,QT23030063,LRP Logistic For Set Up Booth at บูธสมาคมร้านยา_Additional,บริษัท ครีม (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 3,456.00 ",12-03-23,12-03-23,2023,3,Q1,BU1B,Mar," 503,569.00 ",30-60 วัน,,,,,,,,,,,
663,BU 2.1,2.1 PG & BA,QT23030065,PG Cheer Dutch Mill Selected UHT 3-5 April 2023 @ร้าน TT จำนวน 30 ร้านค้า,บริษัท นม จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 149,310.00 ",03-04-23,05-04-23,2023,4,Q2,BU2A,Mar," 45,648.75 ",30-60 วัน,,,,,,,,,,,
664,BU 2.1,2.1 PG & BA,QT23030065,PG Cheer Dutch Mill Selected UHT 3-5 April 2023 @ร้าน TT จำนวน 30 ร้านค้า,บริษัท นม จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 149,310.00 ",03-04-23,05-04-23,2023,4,Q2,BU2A,Apr," 136,946.25 ",30-60 วัน,,,,,,,,,,,
665,BU 1.3,1.3 Logistic,QT23030066,Bridgestone Display Setup for Product Training with Mercedes-Benz,"BS (Thailand) Co., Ltd.",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 8,316.00 ",22-03-23,22-03-23,2023,3,Q1,BU1B,Mar," 2,203.20 ",30-60 วัน,,,,,,,,,,,
666,BU 3.1,3.1 Key Account,QT23030068,P&G Photographer, Manufacturing (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 10,260.00 ",26-04-23,26-04-23,2023,4,Q2,BU1A,Apr," 560,000.00 ",60-150 วัน,,,,,,,,,,,
667,BU 2.1,2.1 PG & BA,QT23030070.1,PC Cheer Darlie TT 7 Stores & Makro 2 Stores,บริษัท ยาสีฟัน (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 420,384.00 ",31-03-23,28-05-23,2023,3,Q1,BU2A,Jun," 560,000.00 ",30-60 วัน,,,,,,,,,,,
668,BU 2.3,2.3 Merchandiser&RO Share service,QT23030071,Allocate Premium Thai Wah 60 STORES,TW Public Company Limited,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 11,880.00 ",20-03-23,24-03-23,2023,3,Q1,BU2B,Jul," 560,000.00 ",30-60 วัน,,,,,,,,,,,
669,BU 1.1,1.1 Booth & Roadshow,QT23030072,Singha x Toys Activity (Venue 18 Mar-2 Apr 23),บริษัท บี เทรดดิ้ง จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 18,755.00 ",18-03-23,02-04-23,2023,3,Q1,BU1A,Aug," 560,000.00 ",30-60 วัน,,,,,,,,,,,
670,BU 1.1,1.1 Booth & Roadshow,QT23030073,Singha Lemon Soda Activity (Venue 18 Mar-2 Apr 23),บริษัท บี เทรดดิ้ง จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 12,265.00 ",18-03-23,02-04-23,2023,3,Q1,BU1A,Sep," 560,000.00 ",30-60 วัน,,,,,,,,,,,
671,BU 1.3,1.3 Logistic,QT23030077,Eucerin POSM Sun Hydro Protect,"BD (Thailand) Co.,Ltd",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 141,058.10 ",16-03-23,31-03-23,2023,3,Q1,BU1B,Mar," 19,785.60 ",30-60 วัน,,,,,,,,,,,
672,BU 3.2,3.2 Key Account,QT23030080,ค่าผลิตถ้วยชิมขนาด 3 ออนซ์  Mitphol @1 เม.ย. - 15 เม.ย. 2023,บริษัท น้ำตาล จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 79,000.00 ",03-04-23,05-04-23,2023,4,Q2,BU2A,Feb," 9,180.00 ",30-60 วัน,,,,,,,,,,,
673,BU 1.1,1.1 Booth & Roadshow,QT23030084,Tidlor truck event หาดใหญ่,บริษัท เงินเงิน จำกัด (มหาชน),IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 51,633.06 ",25-03-23,25-03-23,2023,3,Q1,BU1A,Mar," 7,392.60 ",30-60 วัน,,,,,,,,,,,
674,BU 2.1,2.1 PG & BA,QT23030085,PC จัดรายการ Hajiko @ Petshop 10 Stores (31 March - 2 April 2023),บริษัท อาเซี่ยน จำกัด (มหาชน),IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 28,014.00 ",31-03-23,02-04-23,2023,3,Q1,BU2A,Mar," 46,094.40 ",1-30 วัน,,,,,,,,,,,
675,BU 2.1,2.1 PG & BA,QT23030086,PG Cheer With Sampling ดีไลท์ @Big C (29-30 Apr. 2023) ,บริษัท นม จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 95,393.00 ",29-04-23,30-04-23,2023,4,Q2,BU2A,Mar," 177,306.80 ",30-60 วัน,,,,,,,,,,,
676,BU 1.1,1.1 Booth & Roadshow,QT23030089,Cockpit FC Activity Support 10 Stores (Apr 2023),"BS (Thailand) Co., Ltd.",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 310,284.00 ",01-04-23,09-04-23,2023,4,Q2,BU1B,Mar," 33,900.00 ",30-60 วัน,,,,,,,,,,,
677,BU 1.2,1.2 Event,QT23030094,Betargo Grand Opening Shop อยุธยา,บริษัท เกษตรอุตสาหกรรม จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 180,000.00 ",04-04-23,04-04-23,2023,4,Q2,BU1B,Apr," 149,310.00 ",30-60 วัน,,,,,,,,,,,
678,BU 1.2,1.2 Event,QT23030095,Betargo Grand Opening Shop อยุธยา_Additional_Tent,บริษัท เกษตรอุตสาหกรรม จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 33,500.00 ",04-04-23,04-04-23,2023,4,Q2,BU1B,Mar," 8,316.00 ",30-60 วัน,,,,,,,,,,,
679,BU 1.2,1.2 Event,QT23030097,Haleon Hack a day Ratchaburi @ 22 Mar.23,บริษัท แกล็ก  เฮลธ์แคร์ (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 150,590.00 ",22-03-23,23-03-23,2023,3,Q1,BU1B,Apr," 10,260.00 ",60-150 วัน,,,,,,,,,,,
680,BU 1.1,1.1 Booth & Roadshow,QT23030099,Cockpit Owner Re-inkjet at Cockpit Salaya,บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 6,210.00 ",21-03-23,21-03-23,2023,3,Q1,BU1B,Mar," 6,557.38 ",30-60 วัน,,,,,,,,,,,
681,BU 1.1,1.1 Booth & Roadshow,QT23030099,Cockpit Owner Re-inkjet at Cockpit Salaya,บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 6,210.00 ",21-03-23,21-03-23,2023,3,Q1,BU1B,Apr," 206,899.76 ",30-60 วัน,,,,,,,,,,,
682,BU 1.1,1.1 Booth & Roadshow,QT23030099,Cockpit Owner Re-inkjet at Cockpit Salaya,บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 6,210.00 ",21-03-23,21-03-23,2023,3,Q1,BU1B,May," 213,484.24 ",30-60 วัน,,,,,,,,,,,
683,BU 1.1,1.1 Booth & Roadshow,QT23030100,Cockpit FC Activity Support 9 Stores (Apr 2023),"BS (Thailand) Co., Ltd.",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 288,846.00 ",01-04-23,09-04-23,2023,4,Q2,BU1B,Mar," 11,880.00 ",30-60 วัน,,,,,,,,,,,
684,BU 1.1,1.1 Booth & Roadshow,QT23030101,Neurobion Booth Activity 2023_Production, Trading (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 124,632.00 ",17-04-23,30-04-23,2023,4,Q2,BU1A,Mar," 15,238.44 ",60-150 วัน,,,,,,,,,,,
685,BU 1.1,1.1 Booth & Roadshow,QT23030101,Neurobion Booth Activity 2023_Production, Trading (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 124,632.00 ",17-04-23,30-04-23,2023,4,Q2,BU1A,Apr," 3,516.56 ",60-150 วัน,,,,,,,,,,,
686,BU 1.3,1.3 Logistic,QT23030102,LRP Logistic Booth at Eve and Boy 21 Mar 2023,บริษัท ครีม (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 2,203.20 ",21-03-23,21-03-23,2023,3,Q1,BU1B,Mar," 10,629.67 ",30-60 วัน,,,,,,,,,,,
687,BU 1.3,1.3 Logistic,QT23030102,LRP Logistic Booth at Eve and Boy 21 Mar 2023,บริษัท ครีม (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 2,203.20 ",21-03-23,21-03-23,2023,3,Q1,BU1B,Apr," 1,635.33 ",30-60 วัน,,,,,,,,,,,
688,BU 2.1,2.1 PG & BA,QT23030103,Additional PG Cheer HI-Q Food @ Big C 6 Stores (20 April - 3 May 2023),บริษัท คิวคิว อาหาร จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 83,664.00 ",20-04-23,03-05-23,2023,4,Q2,BU2A,Mar," 1,803.60 ",30-60 วัน,,,,,,,,,,,
689,BU 2.1,2.1 PG & BA,QT23030104,Downy FE Gucci Sampling Tester (Mar 23), Trading (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 9,612.00 ",27-03-23,31-03-23,2023,3,Q1,BU2A,Mar," 6,588.00 ",60-150 วัน,,,,,,,,,,,
690,BU 3.3,3.3 Key Account,QT23030106,ค่าผลิตเข็มกลัด เพ็ท โฟกัส,บริษัท อาหารสัตว์ จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 1,458.00 ",27-03-23,27-03-23,2023,3,Q1,BU2A,Mar," 47,019.37 ",30-60 วัน,,,,,,,,,,,
691,BU 3.3,3.3 Key Account,QT23030106,ค่าผลิตเข็มกลัด เพ็ท โฟกัส,บริษัท อาหารสัตว์ จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 1,458.00 ",27-03-23,27-03-23,2023,3,Q1,BU2A,Apr," 94,038.73 ",30-60 วัน,,,,,,,,,,,
692,BU 1.2,1.2 Event,QT23030109,Beko 8th Anniversary Additional,บริษัท เบโค ไทย จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 38,304.00 ",23-03-23,23-03-23,2023,3,Q1,BU1B,Apr," 79,000.00 ",30-60 วัน,,,,,,,,,,,
693,BU 1.1,1.1 Booth & Roadshow,QT23030111,Singha Transportation (Installtion),บริษัท บี เทรดดิ้ง จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 10,670.00 ",21-03-23,21-03-23,2023,3,Q1,BU1A,Jun," 123,968.00 ",30-60 วัน,,,,,,,,,,,
694,BU 1.1,1.1 Booth & Roadshow,QT23030114,Vitaday (One Time Charge) ,บริษัท เจน เบฟเวอร์เรจ จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 29,832.00 ",24-03-23,31-03-23,2023,3,Q1,BU1A,Mar," 51,633.06 ",30-60 วัน,,,,,,,,,,,
695,BU 1.3,1.3 Logistic,QT23030115,Cetaphil Booth Activity Set up & Dismantle (AAIAT),GAD (Thailand) Ltd. ,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 14,896.00 ",27-03-23,29-03-23,2023,3,Q1,BU1A,Mar," 9,338.00 ",30-60 วัน,,,,,,,,,,,
696,BU 1.3,1.3 Logistic,QT23030115,Cetaphil Booth Activity Set up & Dismantle (AAIAT),GAD (Thailand) Ltd. ,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 14,896.00 ",27-03-23,29-03-23,2023,3,Q1,BU1A,Apr," 18,676.00 ",30-60 วัน,,,,,,,,,,,
697,BU 3.1,3.1 Key Account,QT23030117,Danone Hybrid Conference (Keyaccount),บริษัท ดาดา (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 897,213.00 ",28-04-23,29-04-23,2023,4,Q2,BU1A,Apr," 95,393.00 ",30-60 วัน,,,,,,,,,,,
698,BU 1.2,1.2 Event,QT23030122,Danone Hybrid Conference (Event),บริษัท ดาดา (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 350,153.27 ",28-04-23,29-04-23,2023,4,Q2,BU1A,Mar," 9,644.40 ",30-60 วัน,,,,,,,,,,,
699,BU 1.1,1.1 Booth & Roadshow,QT23030125.1,Pumpui (Operation) on Mar 23,บริษัท ผลิตภัณฑ์อาหาร จำกัด (มหาชน)  ,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 71,702.50 ",29-03-23,31-03-23,2023,3,Q1,BU1A,Apr," 180,000.00 ",30-60 วัน,,,,,,,,,,,
700,BU 1.1,1.1 Booth & Roadshow,QT23030125.2,Pumpui (Operation) on Apr 23,บริษัท ผลิตภัณฑ์อาหาร จำกัด (มหาชน)  ,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 208,092.50 ",01-04-23,30-04-23,2023,4,Q2,BU1A,Apr," 33,500.00 ",30-60 วัน,,,,,,,,,,,
701,BU 1.1,1.1 Booth & Roadshow,QT23030125.3,Pumpui (Operation) on May 23,บริษัท ผลิตภัณฑ์อาหาร จำกัด (มหาชน)  ,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 36,340.00 ",26-05-23,28-05-23,2023,5,Q2,BU1A,Mar," 24,381.00 ",30-60 วัน,,,,,,,,,,,
702,BU 1.1,1.1 Booth & Roadshow,QT23030125.4,Pumpui (Operation) ,บริษัท ผลิตภัณฑ์อาหาร จำกัด (มหาชน)  ,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 50,887.50 ",01-08-23,31-08-23,2023,8,Q3,BU1A,Mar," 150,590.00 ",30-60 วัน,,,,,,,,,,,
703,BU 1.1,1.1 Booth & Roadshow,QT23030126,Pumpui Booth Activity (One Time Charge) ,บริษัท ผลิตภัณฑ์อาหาร จำกัด (มหาชน)  ,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 317,000.00 ",29-03-23,24-04-23,2023,3,Q1,BU1A,Mar," 6,000.00 ",30-60 วัน,,,,,,,,,,,
704,BU 1.1,1.1 Booth & Roadshow,QT23030127,Magnolia Booth at SCG,บริษัท เอ็มเคที อีเว้นท์ จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 33,005.00 ",27-03-23,29-03-23,2023,3,Q1,BU1B,Mar," 6,210.00 ",30-60 วัน,,,,,,,,,,,
705,BU 2.1,2.1 PG & BA,QT23030128.1,K.R.S SPICY PC CHEER @ Makro,"K.R.S  CO., LTD.",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 150,000.00 ",01-04-23,30-04-23,2023,4,Q2,BU2B,Apr," 288,846.00 ",30-60 วัน,,,,,,,,,,,
706,BU 2.1,2.1 PG & BA,QT23030128.1,K.R.S SPICY PC CHEER @ Makro,"K.R.S  CO., LTD.",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 135,000.00 ",01-05-23,31-05-23,2023,5,Q2,BU2B,Apr," 124,632.00 ",30-60 วัน,,,,,,,,,,,
707,BU 1.3,1.3 Logistic,QT23030130,LRP-Logistic For ทำลายสื่อ,บริษัท ครีม (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 11,232.00 ",24-03-23,24-03-23,2023,3,Q1,BU1B,Apr," 64,356.92 ",30-60 วัน,,,,,,,,,,,
708,BU 1.3,1.3 Logistic,QT23030130,LRP-Logistic For ทำลายสื่อ,บริษัท ครีม (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 11,232.00 ",24-03-23,24-03-23,2023,3,Q1,BU1B,May," 19,307.08 ",30-60 วัน,,,,,,,,,,,
709,BU 1.1,1.1 Booth & Roadshow,QT23030131,Cockpit Owner - Activity Support Cockpit_ป้ายบอกทางงานการท่าเรือ,บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 8,208.00 ",26-03-23,26-03-23,2023,3,Q1,BU1B,Mar," 9,612.00 ",30-60 วัน,,,,,,,,,,,
710,BU 1.3,1.3 Logistic,QT23030132,Cetaphil Re-Design Round1,GAD (Thailand) Ltd. ,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 3,309.60 ",27-03-23,27-03-23,2023,3,Q1,BU1A,Mar," 23,254.00 ",30-60 วัน,,,,,,,,,,,
711,BU 2.1,2.1 PG & BA,QT23030133,PC จัดชิมสินค้า ขนมจีบ ซาลาเปา @ MAKRO 5 สาขา,บริษัท ซี ดับบิว  จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 46,172.50 ",07-04-23,09-04-23,2023,4,Q2,BU2A,Mar," 1,458.00 ",30-60 วัน,,,,,,,,,,,
712,BU 2.1,2.1 PG & BA,QT23030135,PC จัดชิมสินค้า ขนมจีบ ซาลาเปา @ JIFFY 6 สาขา,บริษัท ซี ดับบิว  จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 71,714.00 ",08-04-23,09-04-23,2023,4,Q2,BU2A,Mar," 2,203.20 ",30-60 วัน,,,,,,,,,,,
713,BU 1.1,1.1 Booth & Roadshow,QT23030136,Vitaday (OPERATION COST),บริษัท เจน เบฟเวอร์เรจ จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 670,000.00 ",01-04-23,30-04-23,2023,4,Q2,BU1A,Mar," 38,304.00 ",30-60 วัน,,,,,,,,,,,
714,BU 3.1,3.1 Key Account,QT23030138,Eucerin Uniform NPD Launch,"BD (Thailand) Co.,Ltd",IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 16,993.30 ",27-03-23,31-03-23,2023,3,Q1,BU1B,Mar," 10,670.00 ",30-60 วัน,,,,,,,,,,,
715,BU 1.1,1.1 Booth & Roadshow,QT23030140,Cockpit Owner - Banner for 3 Store,บริษัท  เอ.ซี.ที (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 219,564.00 ",01-04-23,01-04-23,2023,4,Q2,BU1B,Mar," 29,832.00 ",30-60 วัน,,,,,,,,,,,
716,BU 1.1,1.1 Booth & Roadshow,QT23030141,P&G Gender Fair Event 2023, Manufacturing (Thailand) Ltd.,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 28,080.00 ",31-03-23,31-03-23,2023,3,Q1,BU1A,Mar," 14,896.00 ",60-150 วัน,,,,,,,,,,,
717,BU 1.2,1.2 Event,QT23030142,Agoda_ขนมไทยเทศกาลสงกรานต์,บริษัท เซอร์วิสเซส จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 73,902.00 ",03-04-23,10-04-23,2023,4,Q2,BU1B,Apr," 897,213.00 ",30-60 วัน,,,,,,,,,,,
718,BU 2.1,2.1 PG & BA,QT23030145.1,Sino PC จัดเรียงสินค้า Apr  2023 @TOPS,บริษัท ซีซี เทรดดิ้ง (ไทยแลนด์) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 114,546.67 ",01-04-23,30-04-23,2023,4,Q2,BU2A,Apr," 350,153.27 ",30-60 วัน,,,,,,,,,,,
719,BU 2.1,2.1 PG & BA,QT23030146,Sino PC ซุ้มประจำเดือน 1-30 April 2023 @TOPS,บริษัท ซีซี เทรดดิ้ง (ไทยแลนด์) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 70,400.00 ",01-04-23,30-04-23,2023,4,Q2,BU2A,Mar," 71,702.50 ",30-60 วัน,,,,,,,,,,,
720,BU 2.1,2.1 PG & BA,QT23030147,"PG Cheer With Sampling ดีไลท์ @Tops (29,30 Apr - 6,7 May 2023) ",บริษัท นม จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 65,520.00 ",29-04-23,07-05-23,2023,4,Q2,BU2A,Apr," 208,092.50 ",30-60 วัน,,,,,,,,,,,
721,BU 2.1,2.1 PG & BA,QT23030148,"PG Cheer With Sampling ดีไลท์ @Makro (29,30 Apr - 6,7 May 2023) ",บริษัท นม จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 64,669.50 ",29-04-23,07-05-23,2023,4,Q2,BU2A,May," 36,340.00 ",30-60 วัน,,,,,,,,,,,
722,BU 2.1,2.1 PG & BA,QT23030150,PC Sampling HI-Q Base UHT (GT 30 ) MAY 2023,บริษัท ดาดา (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 537,578.80 ",06-05-23,28-05-23,2023,5,Q2,BU2B,Mar," 205,053.88 ",30-60 วัน,,,,,,,,,,,
723,BU 2.1,2.1 PG & BA,QT23030150,PC Sampling HI-Q Base UHT (GT 30 ) MAY 2023,บริษัท ดาดา (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 537,578.80 ",06-05-23,28-05-23,2023,5,Q2,BU2B,Apr," 111,946.12 ",30-60 วัน,,,,,,,,,,,
724,BU 2.1,2.1 PG & BA,QT23030151,PC Sampling HI-Q Base UHT (MT 45 ) MAY 2023,บริษัท ดาดา (ประเทศไทย) จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 533,280.00 ",06-05-23,28-05-23,2023,5,Q2,BU2B,Mar," 33,005.00 ",30-60 วัน,,,,,,,,,,,
725,BU 2.1,2.1 PG & BA,QT23030152,"PG Cheer With Sampling ดัชชี่โคล่า @Tops (29,30 Apr - 6,7 May 2023) ",บริษัท นม จำกัด,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 99,593.00 ",29-04-23,07-05-23,2023,4,Q2,BU2A,Apr," 150,000.00 ",30-60 วัน,,,,,,,,,,,
726,BU 1.3,1.3 Logistic,QT23030153,Cetaphil Re-Design Round1 (Additional),GAD (Thailand) Ltd. ,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects," 1,456.00 ",29-03-23,29-03-23,2023,3,Q1,BU1A,May," 135,000.00 ",30-60 วัน,,,,,,,,,,,
